Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°)
01 01 2018 00:00,380.0477905,5.31133604,416.3289078,259.9949036
01 01 2018 00:10,453.7691956,5.672166824,519.9175111,268.6411133
01 01 2018 00:20,306.3765869,5.216036797,390.9000158,272.5647888
01 01 2018 00:30,419.6459045,5.659674168,516.127569,271.2580872
01 01 2018 00:40,380.6506958,5.577940941,491.702972,265.6742859
01 01 2018 00:50,402.3919983,5.604052067,499.436385,264.5786133
01 01 2018 01:00,447.6057129,5.793007851,557.3723633,266.1636047
01 01 2018 01:10,387.2421875,5.306049824,414.8981788,257.9494934
01 01 2018 01:20,463.6512146,5.584629059,493.6776521,253.4806976
01 01 2018 01:30,439.725708,5.523228168,475.7067828,258.7237854
01 01 2018 01:40,498.1817017,5.724115849,535.841397,251.8509979
01 01 2018 01:50,526.8162231,5.934198856,603.0140765,265.5046997
01 01 2018 02:00,710.5872803,6.547413826,824.6625136,274.2329102
01 01 2018 02:10,655.1942749,6.199746132,693.4726411,266.7331848
01 01 2018 02:20,754.7625122,6.505383015,808.0981385,266.7604065
01 01 2018 02:30,790.1732788,6.634116173,859.4590208,270.4931946
01 01 2018 02:40,742.9852905,6.378912926,759.4345366,266.5932922
01 01 2018 02:50,748.2296143,6.446652889,785.2810099,265.5718079
01 01 2018 03:00,736.6478271,6.415082932,773.1728635,261.1586914
01 01 2018 03:10,787.2462158,6.437530994,781.7712157,257.5602112
01 01 2018 03:20,722.8640747,6.220024109,700.7646999,255.9264984
01 01 2018 03:30,935.0333862,6.89802599,970.7366269,250.0128937
01 01 2018 03:40,1220.609009,7.60971117,1315.048928,255.9857025
01 01 2018 03:50,1053.771973,7.288355827,1151.265744,255.4445953
01 01 2018 04:00,1493.807983,7.943101883,1497.583724,256.4074097
01 01 2018 04:10,1724.488037,8.376161575,1752.199662,252.4125977
01 01 2018 04:20,1636.935059,8.23695755,1668.470707,247.9794006
01 01 2018 04:30,1385.488037,7.879590988,1461.815791,238.6096039
01 01 2018 04:40,1098.932007,7.101376057,1062.285034,245.0955963
01 01 2018 04:50,1021.458008,6.955307007,995.9958546,245.410202
01 01 2018 05:00,1164.892944,7.098298073,1060.859712,235.2279053
01 01 2018 05:10,1073.332031,6.953630924,995.2509608,242.8726959
01 01 2018 05:20,1165.307983,7.249577999,1132.416861,244.8356934
01 01 2018 05:30,1177.98999,7.294691086,1154.365305,242.4815979
01 01 2018 05:40,1170.536011,7.376369953,1194.843099,247.9772034
01 01 2018 05:50,1145.536011,7.448554039,1231.430706,249.6829987
01 01 2018 06:00,1114.026978,7.23925209,1127.433206,248.401001
01 01 2018 06:10,1153.185059,7.329211235,1171.355044,244.6217041
01 01 2018 06:20,1125.331055,7.139705181,1080.139085,244.6318054
01 01 2018 06:30,1228.732056,7.474228859,1244.633534,245.7859955
01 01 2018 06:40,1021.79303,7.033174038,1030.992686,248.6522064
01 01 2018 06:50,957.3781738,6.886455059,965.6833344,244.6116943
01 01 2018 07:00,909.8878174,6.887821198,966.2791049,235.8482971
01 01 2018 07:10,1000.953979,7.216432095,1116.471899,232.8426971
01 01 2018 07:20,1024.478027,7.068597794,1047.170231,229.933197
01 01 2018 07:30,1009.533997,6.938295841,988.4519407,230.1367035
01 01 2018 07:40,899.492981,6.536687851,820.4166586,234.9338074
01 01 2018 07:50,725.1101074,6.180624962,686.6369422,232.8379059
01 01 2018 08:00,585.2593994,5.816825867,564.9276595,240.3287964
01 01 2018 08:10,443.9139099,5.450150967,454.7735871,238.126297
01 01 2018 08:20,565.2537842,5.81814909,565.3490932,235.800293
01 01 2018 08:30,644.0377808,6.130272865,668.8235693,224.9586945
01 01 2018 08:40,712.0588989,6.347077847,747.4606734,216.803894
01 01 2018 08:50,737.3947754,6.347436905,747.5951091,205.7852936
01 01 2018 09:00,725.868103,6.194368839,691.5463343,199.8484955
01 01 2018 09:10,408.997406,4.977198124,330.4176304,207.9978027
01 01 2018 09:20,628.4368286,5.959111214,611.2838365,210.954895
01 01 2018 09:30,716.1005859,6.21137619,697.6494744,215.6940002
01 01 2018 09:40,711.4956055,6.111453056,662.235163,220.8426056
01 01 2018 09:50,838.1519165,6.456322193,789.0114224,237.0653076
01 01 2018 10:00,881.0620728,6.666657925,872.7396259,235.6674957
01 01 2018 10:10,663.703125,6.16287899,680.3278917,229.3296967
01 01 2018 10:20,578.2615967,6.013167858,628.4425608,234.9006042
01 01 2018 10:30,465.6200867,5.561203003,486.7795676,230.4228058
01 01 2018 10:40,311.0509033,4.960731983,326.4110254,229.5375061
01 01 2018 10:50,230.0554962,4.60387516,244.3162442,231.7984924
01 01 2018 11:00,233.9906006,4.554533958,233.6327805,234.1056061
01 01 2018 11:10,175.5921936,4.26362896,173.5736631,228.7767029
01 01 2018 11:20,118.1331024,3.894139051,108.5712211,227.9389954
